search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
_text,DomainResource,_text,draft,string,None,None,None,None
_content,Resource,_content,draft,string,None,None,None,None
_id,Resource,_id,draft,token,f:Resource/f:id,Resource.id,None,Resource.id
_lastUpdated,Resource,_lastUpdated,draft,date,f:Resource/f:meta/f:lastUpdated,Resource.meta.lastUpdated,None,Resource.meta.lastUpdated
_profile,Resource,_profile,draft,uri,f:Resource/f:meta/f:profile,Resource.meta.profile,None,Resource.meta.profile
_query,Resource,_query,draft,token,None,None,None,None
_security,Resource,_security,draft,token,f:Resource/f:meta/f:security,Resource.meta.security,None,Resource.meta.security
_source,Resource,_source,draft,uri,f:Resource/f:meta/f:source,Resource.meta.source,None,Resource.meta.source
_tag,Resource,_tag,draft,token,f:Resource/f:meta/f:tag,Resource.meta.tag,None,Resource.meta.tag
identifier,Account,identifier,draft,token,f:Account/f:identifier,Account.identifier,None,Account.identifier
name,Account,name,draft,string,f:Account/f:name,Account.name,None,Account.name
owner,Account,owner,draft,reference,f:Account/f:owner,Account.owner,Organization,Account.owner
patient,Account,patient,draft,reference,f:Account/f:subject,Account.subject,Patient,Account.subject.where(resolve() is Patient)
period,Account,period,draft,date,f:Account/f:servicePeriod,Account.servicePeriod,None,Account.servicePeriod
status,Account,status,draft,token,f:Account/f:status,Account.status,None,Account.status
subject,Account,subject,draft,reference,f:Account/f:subject,Account.subject,Practitioner|Organization|Device|Patient|HealthcareService|PractitionerRole|Location,Account.subject
type,Account,type,draft,token,f:Account/f:type,Account.type,None,Account.type
composed-of,ActivityDefinition,composed-of,draft,reference,f:ActivityDefinition/f:relatedArtifact[f:type/@value='composed-of']/f:resource,ActivityDefinition.relatedArtifact[type/@value='composed-of'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ActivityDefinition.relatedArtifact.where(type='composed-of').resource
context,ActivityDefinition,context,draft,token,f:ActivityDefinition/f:useContext/f:valueCodeableConcept,ActivityDefinition.useContext.valueCodeableConcept,None,(ActivityDefinition.useContext.value as CodeableConcept)
